minecraft,en_us,zh_cn
waxed_weathered_copper_trapdoor,Waxed Weathered Copper Trapdoor,涂蜡的锈蚀铜活板门
waxed_weathered_copper_door,Waxed Weathered Copper Door,涂蜡的锈蚀铜门
waxed_weathered_copper_bulb,Waxed Weathered Copper Bulb,涂蜡的锈蚀铜灯
waxed_weathered_copper_chest,Waxed Weathered Copper Chest,涂蜡的锈蚀铜箱子
,,
waxed_oxidized_copper,Waxed Oxidized Copper,涂蜡的氧化铜块
waxed_oxidized_cut_copper,Waxed Oxidized Cut Copper,涂蜡的氧化切制铜块
waxed_oxidized_cut_copper_slab,Waxed Oxidized Cut Copper Slab,涂蜡的氧化切制铜台阶
waxed_oxidized_cut_copper_stairs,Waxed Oxidized Cut Copper Stairs,涂蜡的氧化切制铜楼梯
waxed_oxidized_chiseled_copper,Waxed Oxidized Chiseled Copper,涂蜡的氧化雕纹铜块
waxed_oxidized_copper_grate,Waxed Oxidized Copper Grate,涂蜡的氧化铜格栅
waxed_oxidized_copper_trapdoor,Waxed Oxidized Copper Trapdoor,涂蜡的氧化铜活板门
waxed_oxidized_copper_door,Waxed Oxidized Copper Door,涂蜡的氧化铜门
waxed_oxidized_copper_bulb,Waxed Oxidized Copper Bulb,涂蜡的氧化铜灯
waxed_oxidized_copper_chest,Waxed Oxidized Copper Chest,涂蜡的氧化铜箱子
@color,@Color,@彩色
white_concrete,White Concrete,白色混凝土
light_gray_concrete,Light Gray Concrete,淡灰色混凝土
gray_concrete,Gray Concrete,灰色混凝土
black_concrete,Black Concrete,黑色混凝土
brown_concrete,Brown Concrete,棕色混凝土
red_concrete,Red Concrete,红色混凝土
orange_concrete,Orange Concrete,橙色混凝土
yellow_concrete,Yellow Concrete,黄色混凝土
lime_concrete,Lime Concrete,黄绿色混凝土
green_concrete,Green Concrete,绿色混凝土
cyan_concrete,Cyan Concrete,青色混凝土
light_blue_concrete,Light Blue Concrete,淡蓝色混凝土
blue_concrete,Blue Concrete,蓝色混凝土
purple_concrete,Purple Concrete,紫色混凝土
magenta_concrete,Magenta Concrete,品红色混凝土
pink_concrete,Pink Concrete,粉红色混凝土
,,
white_concrete_powder,White Concrete Powder,白色混凝土粉末
light_gray_concrete_powder,Light Gray Concrete Powder,淡灰色混凝土粉末
gray_concrete_powder,Gray Concrete Powder,灰色混凝土粉末
black_concrete_powder,Black Concrete Powder,黑色混凝土粉末
brown_concrete_powder,Brown Concrete Powder,棕色混凝土粉末
red_concrete_powder,Red Concrete Powder,红色混凝土粉末
orange_concrete_powder,Orange Concrete Powder,橙色混凝土粉末
yellow_concrete_powder,Yellow Concrete Powder,黄色混凝土粉末
lime_concrete_powder,Lime Concrete Powder,黄绿色混凝土粉末
green_concrete_powder,Green Concrete Powder,绿色混凝土粉末
cyan_concrete_powder,Cyan Concrete Powder,青色混凝土粉末
light_blue_concrete_powder,Light Blue Concrete Powder,淡蓝色混凝土粉末
blue_concrete_powder,Blue Concrete Powder,蓝色混凝土粉末
purple_concrete_powder,Purple Concrete Powder,紫色混凝土粉末
magenta_concrete_powder,Magenta Concrete Powder,品红色混凝土粉末
pink_concrete_powder,Pink Concrete Powder,粉红色混凝土粉末
,,
white_wool,White Wool,白色羊毛
light_gray_wool,Light Gray Wool,淡灰色羊毛
gray_wool,Gray Wool,灰色羊毛
black_wool,Black Wool,黑色羊毛
brown_wool,Brown Wool,棕色羊毛
red_wool,Red Wool,红色羊毛
orange_wool,Orange Wool,橙色羊毛
yellow_wool,Yellow Wool,黄色羊毛
lime_wool,Lime Wool,黄绿色羊毛
green_wool,Green Wool,绿色羊毛
cyan_wool,Cyan Wool,青色羊毛
light_blue_wool,Light Blue Wool,淡蓝色羊毛
blue_wool,Blue Wool,蓝色羊毛
purple_wool,Purple Wool,紫色羊毛
magenta_wool,Magenta Wool,品红色羊毛
pink_wool,Pink Wool,粉红色羊毛
,,
white_carpet,White Carpet,白色地毯
light_gray_carpet,Light Gray Carpet,淡灰色地毯
gray_carpet,Gray Carpet,灰色地毯
black_carpet,Black Carpet,黑色地毯
brown_carpet,Brown Carpet,棕色地毯
red_carpet,Red Carpet,红色地毯
orange_carpet,Orange Carpet,橙色地毯
yellow_carpet,Yellow Carpet,黄色地毯
lime_carpet,Lime Carpet,黄绿色地毯
green_carpet,Green Carpet,绿色地毯
cyan_carpet,Cyan Carpet,青色地毯
light_blue_carpet,Light Blue Carpet,淡蓝色地毯
blue_carpet,Blue Carpet,蓝色地毯
purple_carpet,Purple Carpet,紫色地毯
magenta_carpet,Magenta Carpet,品红色地毯
pink_carpet,Pink Carpet,粉红色地毯
,,
white_glazed_terracotta,White Glazed Terracotta,白色带釉陶瓦
light_gray_glazed_terracotta,Light Gray Glazed Terracotta,淡灰色带釉陶瓦
gray_glazed_terracotta,Gray Glazed Terracotta,灰色带釉陶瓦
black_glazed_terracotta,Black Glazed Terracotta,黑色带釉陶瓦
brown_glazed_terracotta,Brown Glazed Terracotta,棕色带釉陶瓦
red_glazed_terracotta,Red Glazed Terracotta,红色带釉陶瓦
orange_glazed_terracotta,Orange Glazed Terracotta,橙色带釉陶瓦
yellow_glazed_terracotta,Yellow Glazed Terracotta,黄色带釉陶瓦
lime_glazed_terracotta,Lime Glazed Terracotta,黄绿色带釉陶瓦
green_glazed_terracotta,Green Glazed Terracotta,绿色带釉陶瓦
cyan_glazed_terracotta,Cyan Glazed Terracotta,青色带釉陶瓦
light_blue_glazed_terracotta,Light Blue Glazed Terracotta,淡蓝色带釉陶瓦
blue_glazed_terracotta,Blue Glazed Terracotta,蓝色带釉陶瓦
purple_glazed_terracotta,Purple Glazed Terracotta,紫色带釉陶瓦
magenta_glazed_terracotta,Magenta Glazed Terracotta,品红色带釉陶瓦
pink_glazed_terracotta,Pink Glazed Terracotta,粉红色带釉陶瓦
,,
terracotta,Terracotta,陶瓦
white_terracotta,White Terracotta,白色陶瓦
light_gray_terracotta,Light Gray Terracotta,淡灰色陶瓦
gray_terracotta,Gray Terracotta,灰色陶瓦
black_terracotta,Black Terracotta,黑色陶瓦
brown_terracotta,Brown Terracotta,棕色陶瓦
red_terracotta,Red Terracotta,红色陶瓦
orange_terracotta,Orange Terracotta,橙色陶瓦
yellow_terracotta,Yellow Terracotta,黄色陶瓦
lime_terracotta,Lime Terracotta,黄绿色陶瓦
green_terracotta,Green Terracotta,绿色陶瓦
cyan_terracotta,Cyan Terracotta,青色陶瓦
light_blue_terracotta,Light Blue Terracotta,淡蓝色陶瓦
blue_terracotta,Blue Terracotta,蓝色陶瓦
purple_terracotta,Purple Terracotta,紫色陶瓦
magenta_terracotta,Magenta Terracotta,品红色陶瓦
pink_terracotta,Pink Terracotta,粉红色陶瓦
,,
glass_pane,Glass Pane,玻璃板
white_stained_glass_pane,White Stained Glass Pane,白色染色玻璃板
light_gray_stained_glass_pane,Light Gray Stained Glass Pane,淡灰色染色玻璃板
gray_stained_glass_pane,Gray Stained Glass Pane,灰色染色玻璃板
black_stained_glass_pane,Black Stained Glass Pane,黑色染色玻璃板
brown_stained_glass_pane,Brown Stained Glass Pane,棕色染色玻璃板
red_stained_glass_pane,Red Stained Glass Pane,红色染色玻璃板
orange_stained_glass_pane,Orange Stained Glass Pane,橙色染色玻璃板
yellow_stained_glass_pane,Yellow Stained Glass Pane,黄色染色玻璃板
lime_stained_glass_pane,Lime Stained Glass Pane,黄绿色染色玻璃板
green_stained_glass_pane,Green Stained Glass Pane,绿色染色玻璃板
cyan_stained_glass_pane,Cyan Stained Glass Pane,青色染色玻璃板
light_blue_stained_glass_pane,Light Blue Stained Glass Pane,淡蓝色染色玻璃板
blue_stained_glass_pane,Blue Stained Glass Pane,蓝色染色玻璃板
purple_stained_glass_pane,Purple Stained Glass Pane,紫色染色玻璃板
magenta_stained_glass_pane,Magenta Stained Glass Pane,品红色染色玻璃板
pink_stained_glass_pane,Pink Stained Glass Pane,粉红色染色玻璃板
,,
glass,Glass,玻璃
tinted_glass,Tinted Glass,遮光玻璃
white_stained_glass,White Stained Glass,白色染色玻璃
light_gray_stained_glass,Light Gray Stained Glass,淡灰色染色玻璃
gray_stained_glass,Gray Stained Glass,灰色染色玻璃
black_stained_glass,Black Stained Glass,黑色染色玻璃
brown_stained_glass,Brown Stained Glass,棕色染色玻璃
red_stained_glass,Red Stained Glass,红色染色玻璃
orange_stained_glass,Orange Stained Glass,橙色染色玻璃
yellow_stained_glass,Yellow Stained Glass,黄色染色玻璃
lime_stained_glass,Lime Stained Glass,黄绿色染色玻璃
green_stained_glass,Green Stained Glass,绿色染色玻璃
cyan_stained_glass,Cyan Stained Glass,青色染色玻璃
light_blue_stained_glass,Light Blue Stained Glass,淡蓝色染色玻璃
blue_stained_glass,Blue Stained Glass,蓝色染色玻璃
purple_stained_glass,Purple Stained Glass,紫色染色玻璃
magenta_stained_glass,Magenta Stained Glass,品红色染色玻璃
pink_stained_glass,Pink Stained Glass,粉红色染色玻璃
,,
candle,Candle,蜡烛
white_candle,White Candle,白色蜡烛
light_gray_candle,Light Gray Candle,淡灰色蜡烛
gray_candle,Gray Candle,灰色蜡烛
black_candle,Black Candle,黑色蜡烛
brown_candle,Brown Candle,棕色蜡烛
red_candle,Red Candle,红色蜡烛
orange_candle,Orange Candle,橙色蜡烛
yellow_candle,Yellow Candle,黄色蜡烛
lime_candle,Lime Candle,黄绿色蜡烛
green_candle,Green Candle,绿色蜡烛
cyan_candle,Cyan Candle,青色蜡烛
light_blue_candle,Light Blue Candle,淡蓝色蜡烛
blue_candle,Blue Candle,蓝色蜡烛
purple_candle,Purple Candle,紫色蜡烛
magenta_candle,Magenta Candle,品红色蜡烛
pink_candle,Pink Candle,粉红色蜡烛
,,
ominous_banner,Ominous Banner,不祥旗帜
white_banner,White Banner,白色旗帜
light_gray_banner,Light Gray Banner,淡灰色旗帜
gray_banner,Gray Banner,灰色旗帜
black_banner,Black Banner,黑色旗帜
brown_banner,Brown Banner,棕色旗帜
red_banner,Red Banner,红色旗帜
orange_banner,Orange Banner,橙色旗帜
yellow_banner,Yellow Banner,黄色旗帜
lime_banner,Lime Banner,黄绿色旗帜
green_banner,Green Banner,绿色旗帜
cyan_banner,Cyan Banner,青色旗帜
light_blue_banner,Light Blue Banner,淡蓝色旗帜
blue_banner,Blue Banner,蓝色旗帜
purple_banner,Purple Banner,紫色旗帜
magenta_banner,Magenta Banner,品红色旗帜
pink_banner,Pink Banner,粉红色旗帜
,,
white_bed,White Bed,白色床
light_gray_bed,Light Gray Bed,淡灰色床
gray_bed,Gray Bed,灰色床
black_bed,Black Bed,黑色床
brown_bed,Brown Bed,棕色床
red_bed,Red Bed,红色床
orange_bed,Orange Bed,橙色床
yellow_bed,Yellow Bed,黄色床
lime_bed,Lime Bed,黄绿色床
green_bed,Green Bed,绿色床
cyan_bed,Cyan Bed,青色床
light_blue_bed,Light Blue Bed,淡蓝色床
blue_bed,Blue Bed,蓝色床
purple_bed,Purple Bed,紫色床
magenta_bed,Magenta Bed,品红色床
pink_bed,Pink Bed,粉红色床
,,
shulker_box,Shulker Box,潜影盒
white_shulker_box,White Shulker Box,白色潜影盒
light_gray_shulker_box,Light Gray Shulker Box,淡灰色潜影盒
gray_shulker_box,Gray Shulker Box,灰色潜影盒
black_shulker_box,Black Shulker Box,黑色潜影盒
brown_shulker_box,Brown Shulker Box,棕色潜影盒
red_shulker_box,Red Shulker Box,红色潜影盒
orange_shulker_box,Orange Shulker Box,橙色潜影盒
yellow_shulker_box,Yellow Shulker Box,黄色潜影盒
lime_shulker_box,Lime Shulker Box,黄绿色潜影盒
green_shulker_box,Green Shulker Box,绿色潜影盒
cyan_shulker_box,Cyan Shulker Box,青色潜影盒
light_blue_shulker_box,Light Blue Shulker Box,淡蓝色潜影盒
blue_shulker_box,Blue Shulker Box,蓝色潜影盒
purple_shulker_box,Purple Shulker Box,紫色潜影盒
magenta_shulker_box,Magenta Shulker Box,品红色潜影盒
pink_shulker_box,Pink Shulker Box,粉红色潜影盒
@functional_blocks,@Functional Blocks,@功能方块
redstone,Redstone Dust,红石粉
redstone_wire,Redstone Wire,红石线
redstone_block,Block of Redstone,红石块
redstone_torch,Redstone Torch,红石火把
redstone_wall_torch,Redstone Wall Torch,墙上的红石火把
repeater,Redstone Repeater,红石中继器
comparator,Redstone Comparator,红石比较器
redstone_lamp,Redstone Lamp,红石灯
observer,Observer,侦测器
daylight_detector,Daylight Detector,阳光探测器
lever,Lever,拉杆
target,Target,标靶
heavy_weighted_pressure_plate,Heavy Weighted Pressure Plate,重质测重压力板
light_weighted_pressure_plate,Light Weighted Pressure Plate,轻质测重压力板
tripwire_hook,Tripwire Hook,绊线钩
lightning_rod,Lightning Rod,避雷针
trapped_chest,Trapped Chest,陷阱箱
lectern,Lectern,讲台
,,
rail,Rail,铁轨
powered_rail,Powered Rail,动力铁轨
activator_rail,Activator Rail,激活铁轨
detector_rail,Detector Rail,探测铁轨
piston,Piston,活塞
sticky_piston,Sticky Piston,黏性活塞
dropper,Dropper,投掷器
dispenser,Dispenser,发射器
crafter,Crafter,合成器
iron_trapdoor,Iron Trapdoor,铁活板门
iron_door,Iron Door,铁门
note_block,Note Block,音符盒
tnt,TNT,TNT
bell,Bell,钟
string,String,线
tripwire,Tripwire,绊线
hopper,Hopper,漏斗
,,
wither_skeleton_skull,Wither Skeleton Skull,凋灵骷髅头颅
wither_skeleton_wall_skull,Wither Skeleton Wall Skull,墙上的凋灵骷髅头颅
skeleton_skull,Skeleton Skull,骷髅头颅
skeleton_wall_skull,Skeleton Wall Skull,墙上的骷髅头颅
zombie_head,Zombie Head,僵尸的头
zombie_wall_head,Zombie Wall Head,墙上的僵尸的头
creeper_head,Creeper Head,苦力怕的头
creeper_wall_head,Creeper Wall Head,墙上的苦力怕的头
piglin_head,Piglin Head,猪灵的头
piglin_wall_head,Piglin Wall Head,墙上的猪灵的头
dragon_head,Dragon Head,龙首
dragon_wall_head,Dragon Wall Head,墙上的龙首
,,
small_amethyst_bud,Small Amethyst Bud,小型紫晶芽
medium_amethyst_bud,Medium Amethyst Bud,中型紫晶芽
large_amethyst_bud,Large Amethyst Bud,大型紫晶芽
amethyst_cluster,Amethyst Cluster,紫水晶簇
amethyst_shard,Amethyst Shard,紫水晶碎片
amethyst_block,Block of Amethyst,紫水晶块
sculk,Sculk,幽匿块
sculk_vein,Sculk Vein,幽匿脉络
sculk_catalyst,Sculk Catalyst,幽匿催发体
sculk_shrieker,Sculk Shrieker,幽匿尖啸体
sculk_sensor,Sculk Sensor,幽匿感测体
calibrated_sculk_sensor,Calibrated Sculk Sensor,校频幽匿感测体
,,
slime_block,Slime Block,黏液块
honey_block,Honey Block,蜂蜜块
honeycomb_block,Honeycomb Block,蜜脾块
hay_block,Hay Bale,干草捆
dried_kelp_block,Dried Kelp Block,干海带块
sponge,Sponge,海绵
wet_sponge,Wet Sponge,湿海绵
cobweb,Cobweb,蜘蛛网
scaffolding,Scaffolding,脚手架
flower_pot,Flower Pot,花盆
ladder,Ladder,梯子
chain,Chain,锁链
iron_bars,Iron Bars,铁栏杆
,,
end_rod,End Rod,末地烛
torch,Torch,火把
wall_torch,Wall Torch,墙上的火把
soul_torch,Soul Torch,灵魂火把
soul_wall_torch,Soul Wall Torch,墙上的灵魂火把
lantern,Lantern,灯笼
soul_lantern,Soul Lantern,灵魂灯笼
campfire,Campfire,营火
soul_campfire,Soul Campfire,灵魂营火
glowstone,Glowstone,荧石
jack_o_lantern,Jack o'Lantern,南瓜灯
shroomlight,Shroomlight,菌光体
ochre_froglight,Ochre Froglight,赭黄蛙明灯
pearlescent_froglight,Pearlescent Froglight,珠光蛙明灯
verdant_froglight,Verdant Froglight,青翠蛙明灯
,,
furnace,Furnace,熔炉
blast_furnace,Blast Furnace,高炉
smoker,Smoker,烟熏炉
anvil,Anvil,铁砧
chipped_anvil,Chipped Anvil,开裂的铁砧
damaged_anvil,Damaged Anvil,损坏的铁砧
brewing_stand,Brewing Stand,酿造台
crafting_table,Crafting Table,工作台
stonecutter,Stonecutter,切石机
grindstone,Grindstone,砂轮
loom,Loom,织布机
fletching_table,Fletching Table,制箭台
cartography_table,Cartography Table,制图台
smithing_table,Smithing Table,锻造台
bookshelf,Bookshelf,书架
chiseled_bookshelf,Chiseled Bookshelf,雕纹书架
cauldron,Cauldron,炼药锅
composter,Composter,堆肥桶
ender_chest,Ender Chest,末影箱
chest,Chest,箱子
barrel,Barrel,木桶
decorated_pot,Decorated Pot,饰纹陶罐
heavy_core,Heavy Core,沉重核心
conduit,Conduit,潮涌核心
beacon,Beacon,信标
respawn_anchor,Respawn Anchor,重生锚
enchanting_table,Enchanting Table,附魔台
jukebox,Jukebox,唱片机
lodestone,Lodestone,磁石
bee_nest,Bee Nest,蜂巢
beehive,Beehive,蜂箱
dried_ghast,Dried Ghast,失水恶魂
creaking_heart,Creaking Heart,嘎枝之心
dragon_egg,Dragon Egg,龙蛋
turtle_egg,Turtle Egg,海龟蛋
sniffer_egg,Sniffer Egg,嗅探兽蛋
@decorative_blocks,@Decorative Blocks,@装饰方块
cake,Cake,蛋糕
candle_cake,Cake with Candle,插上蜡烛的蛋糕
white_candle_cake,Cake with White Candle,插上白色蜡烛的蛋糕
light_gray_candle_cake,Cake with Light Gray Candle,插上淡灰色蜡烛的蛋糕
gray_candle_cake,Cake with Gray Candle,插上灰色蜡烛的蛋糕
black_candle_cake,Cake with Black Candle,插上黑色蜡烛的蛋糕
brown_candle_cake,Cake with Brown Candle,插上棕色蜡烛的蛋糕
red_candle_cake,Cake with Red Candle,插上红色蜡烛的蛋糕
orange_candle_cake,Cake with Orange Candle,插上橙色蜡烛的蛋糕
yellow_candle_cake,Cake with Yellow Candle,插上黄色蜡烛的蛋糕
lime_candle_cake,Cake with Lime Candle,插上黄绿色蜡烛的蛋糕
green_candle_cake,Cake with Green Candle,插上绿色蜡烛的蛋糕
cyan_candle_cake,Cake with Cyan Candle,插上青色蜡烛的蛋糕
light_blue_candle_cake,Cake with Light Blue Candle,插上淡蓝色蜡烛的蛋糕
blue_candle_cake,Cake with Blue Candle,插上蓝色蜡烛的蛋糕
purple_candle_cake,Cake with Purple Candle,插上紫色蜡烛的蛋糕
magenta_candle_cake,Cake with Magenta Candle,插上品红色蜡烛的蛋糕
pink_candle_cake,Cake with Pink Candle,插上粉红色蜡烛的蛋糕
,,
moss_block,Moss Block,苔藓块
moss_carpet,Moss Carpet,覆地苔藓
pale_moss_block,Pale Moss Block,苍白苔藓块
pale_moss_carpet,Pale Moss Carpet,苍白覆地苔藓
azalea,Azalea,杜鹃花丛
potted_azalea_bush,Potted Azalea,杜鹃花丛盆栽
flowering_azalea,Flowering Azalea,盛开的杜鹃花丛
potted_flowering_azalea_bush,Potted Flowering Azalea,盛开的杜鹃花丛盆栽
,,
azalea_leaves,Azalea Leaves,杜鹃树叶
flowering_azalea_leaves,Flowering Azalea Leaves,盛开的杜鹃树叶
cherry_leaves,Cherry Leaves,樱花树叶
acacia_leaves,Acacia Leaves,金合欢树叶
pale_oak_leaves,Pale Oak Leaves,苍白橡树树叶
birch_leaves,Birch Leaves,白桦树叶
oak_leaves,Oak Leaves,橡树树叶
jungle_leaves,Jungle Leaves,丛林树叶
spruce_leaves,Spruce Leaves,云杉树叶
dark_oak_leaves,Dark Oak Leaves,深色橡树树叶
mangrove_leaves,Mangrove Leaves,红树树叶
nether_wart_block,Nether Wart Block,下界疣块
warped_wart_block,Warped Wart Block,诡异疣块
,,
cherry_sapling,Cherry Sapling,樱花树苗
potted_cherry_sapling,Potted Cherry Sapling,樱花树苗盆栽
acacia_sapling,Acacia Sapling,金合欢树苗
potted_acacia_sapling,Potted Acacia Sapling,金合欢树苗盆栽
pale_oak_sapling,Pale Oak Sapling,苍白橡树树苗
potted_pale_oak_sapling,Potted Pale Oak Sapling,苍白橡树树苗盆栽
birch_sapling,Birch Sapling,白桦树苗
potted_birch_sapling,Potted Birch Sapling,白桦树苗盆栽
oak_sapling,Oak Sapling,橡树树苗
potted_oak_sapling,Potted Oak Sapling,橡树树苗盆栽
spruce_sapling,Spruce Sapling,云杉树苗
potted_spruce_sapling,Potted Spruce Sapling,云杉树苗盆栽
dark_oak_sapling,Dark Oak Sapling,深色橡树树苗
potted_dark_oak_sapling,Potted Dark Oak Sapling,深色橡树树苗盆栽
mangrove_propagule,Mangrove Propagule,红树胎生苗
potted_mangrove_propagule,Potted Mangrove Propagule,红树胎生苗盆栽
bamboo_sapling,Bamboo Shoot,竹笋
bamboo,Bamboo,竹子
potted_bamboo,Potted Bamboo,竹子盆栽
,,
crimson_fungus,Crimson Fungus,绯红菌
potted_crimson_fungus,Potted Crimson Fungus,绯红菌盆栽
warped_fungus,Warped Fungus,诡异菌
potted_warped_fungus,Potted Warped Fungus,诡异菌盆栽
crimson_roots,Crimson Roots,绯红菌索
potted_crimson_roots,Potted Crimson Roots,绯红菌索盆栽
warped_roots,Warped Roots,诡异菌索
potted_warped_roots,Potted Warped Roots,诡异菌索盆栽
twisting_vines,Twisting Vines,缠怨藤
twisting_vines_plant,Twisting Vines Plant,缠怨藤植株
weeping_vines,Weeping Vines,垂泪藤
weeping_vines_plant,Weeping Vines Plant,垂泪藤植株
,,
mushroom_stem,Mushroom Stem,蘑菇柄
brown_mushroom_block,Brown Mushroom Block,棕色蘑菇方块
red_mushroom_block,Red Mushroom Block,红色蘑菇方块
brown_mushroom,Brown Mushroom,棕色蘑菇
potted_brown_mushroom,Potted Brown Mushroom,棕色蘑菇盆栽
red_mushroom,Red Mushroom,红色蘑菇
potted_red_mushroom,Potted Red Mushroom,红色蘑菇盆栽
,,
dead_bush,Dead Bush,枯萎的灌木
potted_dead_bush,Potted Dead Bush,枯萎的灌木盆栽
dandelion,Dandelion,蒲公英
potted_dandelion,Potted Dandelion,蒲公英盆栽
poppy,Poppy,虞美人
potted_poppy,Potted Poppy,虞美人盆栽
blue_orchid,Blue Orchid,兰花
potted_blue_orchid,Potted Blue Orchid,兰花盆栽
allium,Allium,绒球葱
potted_allium,Potted Allium,绒球葱盆栽
azure_bluet,Azure Bluet,蓝花美耳草
potted_azure_bluet,Potted Azure Bluet,蓝花美耳草盆栽
red_tulip,Red Tulip,红色郁金香
potted_red_tulip,Potted Red Tulip,红色郁金香盆栽
orange_tulip,Orange Tulip,橙色郁金香
potted_orange_tulip,Potted Orange Tulip,橙色郁金香盆栽
white_tulip,White Tulip,白色郁金香
potted_white_tulip,Potted White Tulip,白色郁金香盆栽
pink_tulip,Pink Tulip,粉红色郁金香
potted_pink_tulip,Potted Pink Tulip,粉红色郁金香盆栽
oxeye_daisy,Oxeye Daisy,滨菊
potted_oxeye_daisy,Potted Oxeye Daisy,滨菊盆栽
cornflower,Cornflower,矢车菊
potted_cornflower,Potted Cornflower,矢车菊盆栽
lily_of_the_valley,Lily of the Valley,铃兰
potted_lily_of_the_valley,Potted Lily of the Valley,铃兰盆栽
,,
closed_eyeblossom,Closed Eyeblossom,闭合的眼眸花
potted_closed_eyeblossom,Potted Closed Eyeblossom,闭合的眼眸花盆栽
open_eyeblossom,Open Eyeblossom,张开的眼眸花
potted_open_eyeblossom,Potted Open Eyeblossom,张开的眼眸花盆栽
wither_rose,Wither Rose,凋灵玫瑰
potted_wither_rose,Potted Wither Rose,凋灵玫瑰盆栽
rose_bush,Rose Bush,玫瑰丛
lilac,Lilac,丁香
peony,Peony,牡丹
sunflower,Sunflower,向日葵
pink_petals,Pink Petals,粉红色花簇
leaf_litter,Leaf Litter,枯叶
wildflowers,Wildflowers,野花簇
,,
wheat,Wheat,小麦
wheat_seeds,Wheat Seeds,小麦种子
wheat,Wheat Crops,小麦植株
carrot,Carrot,胡萝卜
carrots,Carrots,胡萝卜（植株）
potato,Potato,马铃薯
potatoes,Potatoes,马铃薯（植株）
poisonous_potato,Poisonous Potato,毒马铃薯
baked_potato,Baked Potato,烤马铃薯
beetroot,Beetroot,甜菜根
beetroots,Beetroots,甜菜根（植株）
beetroot_seeds,Beetroot Seeds,甜菜种子
,,
torchflower,Torchflower,火把花
potted_torchflower,Potted Torchflower,火把花盆栽
torchflower_seeds,Torchflower Seeds,火把花种子
torchflower_crop,Torchflower Crop,火把花植株
pitcher_plant,Pitcher Plant,瓶子草
pitcher_pod,Pitcher Pod,瓶子草荚果
pitcher_crop,Pitcher Crop,瓶子草植株
pumpkin,Pumpkin,南瓜
carved_pumpkin,Carved Pumpkin,雕刻南瓜
pumpkin_seeds,Pumpkin Seeds,南瓜种子
pumpkin_stem,Pumpkin Stem,南瓜茎
attached_pumpkin_stem,Attached Pumpkin Stem,结果的南瓜茎
melon,Melon,西瓜
melon_slice,Melon Slice,西瓜片
melon_seeds,Melon Seeds,西瓜种子
melon_stem,Melon Stem,西瓜茎
attached_melon_stem,Attached Melon Stem,结果的西瓜茎
,,
cactus,Cactus,仙人掌
potted_cactus,Potted Cactus,仙人掌盆栽
cactus_flower,Cactus Flower,仙人掌花
sugar_cane,Sugar Cane,甘蔗
lily_pad,Lily Pad,睡莲
dried_kelp,Dried Kelp,干海带
kelp,Kelp,海带
kelp_plant,Kelp Plant,海带植株
sea_pickle,Sea Pickle,海泡菜
cocoa,Cocoa,可可果
cocoa_beans,Cocoa Beans,可可豆
sweet_berries,Sweet Berries,甜浆果
sweet_berry_bush,Sweet Berry Bush,甜浆果丛
cave_vines,Cave Vines,洞穴藤蔓
cave_vines_plant,Cave Vines Plant,洞穴藤蔓植株
glow_berries,Glow Berries,发光浆果
spore_blossom,Spore Blossom,孢子花
nether_wart,Nether Wart,下界疣
chorus_flower,Chorus Flower,紫颂花
chorus_fruit,Chorus Fruit,紫颂果
popped_chorus_fruit,Popped Chorus Fruit,爆裂紫颂果
,,
glow_lichen,Glow Lichen,发光地衣
hanging_roots,Hanging Roots,垂根
pale_hanging_moss,Pale Hanging Moss,苍白垂须
bush,Bush,灌木丛
firefly_bush,Firefly Bush,萤火虫灌木丛
nether_sprouts,Nether Sprouts,下界苗
grass,Grass,草
short_grass,Short Grass,矮草丛
tall_grass,Tall Grass,高草丛
short_dry_grass,Short Dry Grass,矮枯草丛
tall_dry_grass,Tall Dry Grass,高枯草丛
seagrass,Seagrass,海草
tall_seagrass,Tall Seagrass,高海草
fern,Fern,蕨
potted_fern,Potted Fern,蕨盆栽
large_fern,Large Fern,大型蕨
vine,Vines,藤蔓
small_dripleaf,Small Dripleaf,小型垂滴叶
big_dripleaf,Big Dripleaf,大型垂滴叶
big_dripleaf_stem,Big Dripleaf Stem,大型垂滴叶茎
,,
tube_coral,Tube Coral,管珊瑚
tube_coral_block,Tube Coral Block,管珊瑚块
tube_coral_fan,Tube Coral Fan,管珊瑚扇
tube_coral_wall_fan,Tube Coral Wall Fan,墙上的管珊瑚扇
brain_coral,Brain Coral,脑纹珊瑚
brain_coral_block,Brain Coral Block,脑纹珊瑚块
brain_coral_fan,Brain Coral Fan,脑纹珊瑚扇
brain_coral_wall_fan,Brain Coral Wall Fan,墙上的脑纹珊瑚扇
bubble_coral,Bubble Coral,气泡珊瑚
bubble_coral_block,Bubble Coral Block,气泡珊瑚块
bubble_coral_fan,Bubble Coral Fan,气泡珊瑚扇
bubble_coral_wall_fan,Bubble Coral Wall Fan,墙上的气泡珊瑚扇
fire_coral,Fire Coral,火珊瑚
fire_coral_block,Fire Coral Block,火珊瑚块
fire_coral_fan,Fire Coral Fan,火珊瑚扇
fire_coral_wall_fan,Fire Coral Wall Fan,墙上的火珊瑚扇
horn_coral,Horn Coral,鹿角珊瑚
horn_coral_block,Horn Coral Block,鹿角珊瑚块
horn_coral_fan,Horn Coral Fan,鹿角珊瑚扇
horn_coral_wall_fan,Horn Coral Wall Fan,墙上的鹿角珊瑚扇
,,
dead_tube_coral,Dead Tube Coral,失活的管珊瑚
